tg,drive_amp,detune,f_80_200,f_80_400
123.935493,0.011861,0.019084,-3.05772118,-3.0583339
124.958919,0.011768,0.018976,-3.03567871,-3.03558942
125.90857,0.011659,0.018825,-3.02029459,-3.01957089
127.009247,0.011535,0.01868,-3.00954608,-3.00901138
127.983086,0.011416,0.018489,-3.00681737,-3.00521995
129.07161,0.011328,0.01838,-3.01742313,-3.01558297
130.085814,0.011217,0.018243,-3.03658376,-3.03483115
130.987409,0.011129,0.01812,-3.05971205,-3.0575674
132.073895,0.011021,0.017919,-3.09114328,-3.0878389
133.043996,0.010912,0.017816,-3.12423846,-3.12124708
134.045327,0.010845,0.017713,-3.16451833,-3.16084528
134.951928,0.010752,0.017603,-3.20086878,-3.19726278
136.083149,0.010661,0.017524,-3.24313265,-3.23997967
137.086579,0.01057,0.017383,-3.28356017,-3.27988651
138.083554,0.010479,0.017253,-3.32065168,-3.31599478
138.966669,0.010399,0.017181,-3.34688724,-3.34256457
140.01874,0.010322,0.017078,-3.37187967,-3.36673669
141.04181,0.010227,0.016935,-3.38321838,-3.37797625
142.011209,0.010154,0.016861,-3.38346463,-3.37916822
142.966892,0.010081,0.016738,-3.38178994,-3.37695361
144.036679,0.010001,0.016617,-3.37631243,-3.37104153
145.018103,0.009931,0.016541,-3.37094394,-3.36651827
146.026116,0.009837,0.016406,-3.37367852,-3.36918116
146.98614,0.009772,0.016303,-3.37198334,-3.36730263
148.008545,0.009697,0.01619,-3.37250456,-3.36727389
148.989487,0.009604,0.016063,-3.37246095,-3.36906595
150.047226,0.009538,0.015974,-3.3874553,-3.38193994
150.996676,0.00948,0.015894,-3.40179917,-3.39485413
151.989666,0.009403,0.015775,-3.4262334,-3.4188592
152.99957,0.009333,0.015682,-3.45780786,-3.45013326
154.040126,0.00927,0.015566,-3.49643739,-3.48593535
155.021505,0.009189,0.015455,-3.53340848,-3.52470726
156.010754,0.009132,0.015368,-3.57688803,-3.56769205
157.002288,0.009066,0.015277,-3.61781943,-3.60865882
158.041956,0.009003,0.015175,-3.66232628,-3.6505784
159.047629,0.008939,0.015104,-3.70866341,-3.6971518
160.032761,0.008881,0.015014,-3.75431645,-3.74452713
161.018786,0.008814,0.014909,-3.80028673,-3.79111707
162.040978,0.00875,0.014828,-3.83470607,-3.82768675
162.962765,0.008699,0.014731,-3.85968062,-3.85169264
164.008911,0.008636,0.014649,-3.87674635,-3.87205174
164.962848,0.008576,0.014555,-3.88342948,-3.8819224
165.979751,0.008521,0.014483,-3.89315506,-3.89275256
167.007842,0.008466,0.014397,-3.90570702,-3.90605559
168.04714,0.008404,0.014303,-3.92373539,-3.92711346
169.038815,0.008352,0.014224,-3.94107371,-3.94616142
170.026627,0.008296,0.01413,-3.95554408,-3.96219458
171.002465,0.008243,0.01405,-3.9683894,-3.97676365
171.994903,0.00819,0.01397,-3.98420521,-3.99429005
172.993537,0.00814,0.013908,-4.00805919,-4.0202345
173.998768,0.008086,0.013824,-4.04525687,-4.06040499
175.000433,0.008033,0.013741,-4.09095337,-4.10810304
175.997167,0.00798,0.013643,-4.13370765,-4.15431062
177.004051,0.007933,0.013582,-4.18421135,-4.20888443
177.995843,0.007883,0.013502,-4.22072924,-4.24900193
179.000104,0.007836,0.013431,-4.24764562,-4.27923543
179.998304,0.007785,0.013358,-4.26781491,-4.30105978
181.009723,0.007738,0.013283,-4.284337,-4.32016099
182.000542,0.007692,0.013224,-4.29827901,-4.33603992
183.003554,0.007645,0.013143,-4.31376188,-4.35199502
184.001514,0.007599,0.013075,-4.31210125,-4.34989857
185.002419,0.007555,0.013008,-4.29152036,-4.32661494
185.9973,0.007508,0.012934,-4.2601215,-4.29102685
187.007428,0.007467,0.012864,-4.22599239,-4.25468327
187.994814,0.007422,0.012795,-4.20409204,-4.22901014
188.995398,0.00738,0.012733,-4.18588403,-4.20819932
189.99448,0.007336,0.012671,-4.17052392,-4.18969715
191.00361,0.007296,0.012611,-4.15161177,-4.16963512
192.006705,0.007253,0.012553,-4.12910928,-4.14312687
192.994733,0.00721,0.012477,-4.11113701,-4.12302261
194.002917,0.007169,0.012408,-4.08655039,-4.09578483
194.99981,0.007132,0.012352,-4.06083287,-4.06930966
196.002503,0.007091,0.012286,-4.03980342,-4.04640114
197.00513,0.007048,0.012224,-4.01843871,-4.02247831
198.009321,0.007014,0.012163,-3.99774265,-4.00355027
199.000188,0.006974,0.012112,-3.97518237,-3.98017073
200.001076,0.006936,0.012052,-3.94603402,-3.95093419
