0,1,2,3,4,5,6,7,8,9
"(9, 1)","(5, 4)","(2, 8)","(15, 0)","(18, 0)","(8, 4)","(9, 8)","(15, 4)","(5, 0)","(18, 4)"
"(6, 4)","(10, 1)","(3, 8)","(17, 0)","(19, 0)","(10, 8)","(17, 4)","(3, 1)","(6, 0)","(14, 1)"
"(8, 2)","(4, 5)","(1, 9)","(0, 18)","(1, 12)","(12, 5)","(8, 9)","(9, 5)","(1, 2)","(8, 4)"
"(8, 3)","(4, 6)","(1, 10)","(12, 6)","(0, 19)","(0, 17)","(8, 10)","(9, 6)","(1, 14)","(1, 3)"
"(5, 4)","(9, 1)","(2, 8)","(15, 0)","(18, 0)","(8, 4)","(12, 1)","(9, 8)","(4, 5)","(8, 2)"
"(10, 1)","(6, 4)","(3, 8)","(17, 0)","(19, 0)","(10, 8)","(17, 4)","(6, 0)","(3, 1)","(21, 0)"
"(4, 5)","(8, 2)","(1, 9)","(0, 18)","(1, 12)","(4, 8)","(8, 9)","(5, 4)","(8, 4)","(9, 1)"
"(4, 6)","(8, 3)","(1, 10)","(8, 10)","(0, 19)","(1, 14)","(1, 3)","(0, 17)","(12, 6)","(9, 6)"
"(11, 1)","(7, 4)","(16, 0)","(16, 4)","(23, 0)","(10, 4)","(7, 0)","(14, 0)","(10, 0)","(23, 4)"
"(0, 18)","(1, 9)","(4, 5)","(1, 12)","(1, 13)","(8, 2)","(1, 20)","(1, 24)","(1, 30)","(0, 16)"
"(4, 7)","(1, 11)","(8, 11)","(1, 17)","(0, 23)","(8, 6)","(4, 10)","(8, 17)","(0, 15)","(5, 11)"
"(2, 9)","(5, 5)","(5, 8)","(9, 2)","(5, 18)","(5, 16)","(9, 9)","(5, 21)","(8, 5)","(2, 12)"
"(7, 4)","(3, 9)","(11, 1)","(6, 5)","(11, 8)","(6, 8)","(16, 0)","(10, 2)","(17, 1)","(23, 0)"
"(3, 9)","(7, 4)","(6, 5)","(11, 1)","(6, 8)","(10, 2)","(6, 18)","(6, 16)","(11, 8)","(16, 0)"
"(0, 19)","(1, 10)","(1, 14)","(1, 15)","(1, 23)","(1, 27)","(4, 6)","(1, 38)","(1, 40)","(0, 17)"
"(2, 10)","(5, 6)","(9, 3)","(5, 17)","(5, 11)","(5, 19)","(9, 10)","(8, 6)","(5, 22)","(12, 3)"
"(3, 10)","(6, 6)","(10, 3)","(6, 17)","(6, 11)","(6, 19)","(10, 10)","(6, 22)","(3, 14)","(3, 3)"
"(1, 12)","(0, 21)","(4, 8)","(4, 5)","(8, 4)","(0, 16)","(0, 18)","(4, 16)","(1, 9)","(12, 1)"
"(2, 11)","(5, 7)","(5, 10)","(5, 15)","(5, 14)","(5, 23)","(8, 7)","(5, 40)","(9, 11)","(5, 27)"
"(3, 11)","(6, 7)","(6, 10)","(6, 15)","(6, 14)","(6, 23)","(10, 11)","(6, 40)","(6, 27)","(6, 3)"
"(0, 20)","(1, 18)","(1, 16)","(1, 21)","(0, 24)","(1, 8)","(1, 33)","(1, 26)","(4, 9)","(1, 52)"
"(0, 22)","(1, 14)","(1, 23)","(1, 15)","(1, 10)","(1, 27)","(4, 6)","(4, 11)","(1, 50)","(4, 22)"
"(0, 21)","(18, 0)","(1, 12)","(4, 8)","(12, 1)","(8, 4)","(1, 13)","(9, 1)","(13, 1)","(1, 24)"
"(18, 0)","(0, 21)","(1, 12)","(12, 1)","(9, 1)","(4, 8)","(13, 1)","(22, 1)","(1, 13)","(8, 4)"
"(0, 23)","(1, 22)","(1, 17)","(1, 19)","(1, 11)","(1, 37)","(4, 10)","(4, 7)","(1, 51)","(1, 6)"
"(9, 2)","(5, 5)","(2, 9)","(2, 12)","(8, 5)","(15, 5)","(9, 9)","(18, 5)","(12, 2)","(2, 2)"
"(9, 3)","(5, 6)","(2, 10)","(8, 6)","(15, 6)","(9, 10)","(18, 6)","(12, 3)","(2, 14)","(2, 3)"
"(10, 2)","(6, 5)","(3, 9)","(3, 12)","(17, 5)","(10, 9)","(3, 2)","(10, 4)","(11, 5)","(19, 5)"
"(10, 3)","(6, 6)","(3, 10)","(17, 6)","(10, 10)","(3, 14)","(3, 3)","(11, 6)","(19, 6)","(14, 3)"
"(12, 1)","(8, 4)","(4, 8)","(1, 12)","(18, 0)","(20, 0)","(0, 21)","(15, 0)","(1, 9)","(15, 4)"
"(5, 5)","(9, 2)","(2, 9)","(2, 12)","(12, 2)","(9, 9)","(8, 5)","(5, 8)","(9, 4)","(2, 2)"
"(0, 24)","(1, 21)","(1, 18)","(0, 20)","(1, 16)","(1, 26)","(1, 33)","(5, 5)","(1, 8)","(9, 2)"
"(5, 6)","(9, 3)","(2, 10)","(12, 3)","(9, 10)","(8, 6)","(2, 14)","(2, 3)","(4, 10)","(15, 6)"
"(6, 5)","(10, 2)","(3, 9)","(3, 12)","(10, 9)","(6, 8)","(10, 4)","(17, 5)","(3, 2)","(3, 13)"
"(6, 6)","(10, 3)","(3, 10)","(10, 10)","(3, 14)","(17, 6)","(3, 3)","(14, 3)","(11, 6)","(10, 14)"
"(19, 0)","(14, 1)","(10, 1)","(16, 1)","(23, 1)","(27, 1)","(29, 1)","(31, 1)","(38, 1)","(42, 1)"
"(4, 8)","(12, 1)","(1, 12)","(20, 0)","(8, 4)","(18, 0)","(1, 13)","(15, 0)","(1, 9)","(0, 21)"
"(11, 2)","(7, 5)","(16, 5)","(10, 5)","(23, 5)","(7, 8)","(14, 5)","(11, 9)","(16, 1)","(16, 8)"
"(11, 3)","(7, 6)","(16, 6)","(10, 6)","(23, 6)","(14, 6)","(11, 10)","(42, 6)","(7, 17)","(27, 6)"
"(1, 13)","(20, 0)","(8, 4)","(4, 8)","(13, 1)","(0, 21)","(0, 18)","(1, 12)","(22, 1)","(4, 5)"
"(1, 14)","(0, 22)","(4, 11)","(1, 15)","(0, 19)","(4, 17)","(4, 6)","(0, 17)","(4, 19)","(4, 22)"
"(20, 0)","(1, 13)","(4, 8)","(8, 4)","(12, 1)","(13, 1)","(1, 12)","(22, 1)","(0, 18)","(0, 21)"
"(21, 0)","(14, 1)","(16, 1)","(23, 1)","(10, 1)","(11, 4)","(19, 0)","(27, 1)","(21, 4)","(6, 4)"
"(8, 4)","(4, 8)","(12, 1)","(20, 0)","(1, 13)","(1, 12)","(13, 1)","(9, 1)","(12, 8)","(18, 0)"
"(1, 16)","(0, 25)","(4, 9)","(4, 12)","(0, 20)","(0, 12)","(0, 24)","(4, 25)","(4, 13)","(8, 5)"
"(22, 0)","(15, 1)","(18, 1)","(20, 1)","(24, 0)","(9, 4)","(8, 1)","(35, 1)","(1, 16)","(26, 1)"
"(1, 15)","(4, 11)","(1, 14)","(0, 19)","(4, 17)","(0, 17)","(0, 22)","(5, 7)","(4, 19)","(0, 11)"
"(5, 7)","(2, 11)","(9, 11)","(1, 15)","(2, 17)","(4, 11)","(12, 11)","(9, 6)","(9, 17)","(1, 14)"
"(6, 7)","(3, 11)","(10, 11)","(3, 17)","(14, 11)","(10, 6)","(10, 17)","(6, 10)","(16, 11)","(3, 22)"
"(23, 0)","(17, 1)","(21, 1)","(19, 1)","(11, 1)","(10, 4)","(36, 1)","(6, 8)","(23, 4)","(27, 0)"
"(1, 17)","(4, 10)","(0, 27)","(0, 23)","(4, 15)","(4, 14)","(0, 15)","(8, 6)","(0, 14)","(0, 10)"
"(2, 12)","(5, 8)","(5, 5)","(5, 16)","(9, 4)","(2, 9)","(15, 1)","(5, 21)","(9, 2)","(2, 13)"
"(3, 12)","(6, 8)","(6, 5)","(6, 16)","(10, 4)","(3, 9)","(17, 1)","(6, 21)","(10, 2)","(3, 13)"
"(13, 1)","(20, 0)","(8, 4)","(18, 0)","(4, 8)","(18, 4)","(15, 4)","(12, 1)","(15, 0)","(5, 4)"
"(7, 5)","(11, 2)","(14, 1)","(11, 9)","(11, 4)","(11, 12)","(17, 2)","(21, 0)","(16, 1)","(19, 0)"
"(14, 1)","(21, 0)","(19, 0)","(7, 5)","(19, 4)","(11, 4)","(6, 4)","(21, 4)","(23, 1)","(11, 2)"
"(7, 6)","(11, 3)","(11, 10)","(17, 3)","(11, 14)","(6, 10)","(17, 10)","(16, 6)","(10, 6)","(11, 7)"
"(24, 0)","(20, 1)","(18, 1)","(22, 0)","(26, 1)","(15, 1)","(9, 4)","(35, 1)","(5, 8)","(50, 1)"
"(0, 25)","(1, 16)","(1, 21)","(1, 18)","(4, 9)","(1, 26)","(4, 12)","(1, 39)","(8, 5)","(1, 34)"
"(15, 1)","(9, 4)","(5, 8)","(12, 4)","(25, 0)","(22, 0)","(2, 12)","(12, 0)","(25, 4)","(24, 0)"
"(0, 26)","(1, 24)","(1, 25)","(1, 12)","(1, 20)","(4, 8)","(1, 13)","(1, 46)","(0, 21)","(1, 35)"
"(16, 1)","(11, 4)","(21, 0)","(17, 4)","(19, 0)","(17, 0)","(11, 0)","(7, 8)","(32, 0)","(21, 4)"
"(17, 1)","(10, 4)","(6, 8)","(23, 0)","(3, 12)","(16, 4)","(27, 0)","(16, 0)","(10, 0)","(23, 4)"
"(7, 7)","(11, 11)","(11, 6)","(11, 17)","(6, 11)","(17, 11)","(21, 11)","(11, 22)","(11, 48)","(53, 11)"
"(5, 8)","(9, 4)","(4, 9)","(15, 1)","(12, 2)","(2, 12)","(8, 5)","(2, 13)","(2, 9)","(1, 18)"
"(4, 9)","(12, 2)","(8, 5)","(5, 8)","(9, 4)","(1, 18)","(1, 16)","(15, 1)","(2, 12)","(8, 8)"
"(6, 8)","(10, 4)","(17, 1)","(3, 12)","(3, 13)","(3, 9)","(10, 12)","(23, 0)","(10, 9)","(3, 4)"
"(12, 3)","(8, 6)","(4, 10)","(1, 17)","(15, 6)","(5, 6)","(1, 19)","(9, 3)","(13, 3)","(12, 10)"
"(12, 2)","(4, 9)","(1, 18)","(1, 16)","(8, 8)","(8, 5)","(15, 5)","(9, 4)","(4, 12)","(1, 8)"
"(4, 10)","(12, 3)","(8, 6)","(1, 17)","(1, 19)","(8, 17)","(1, 6)","(0, 27)","(1, 22)","(8, 11)"
"(2, 13)","(9, 4)","(5, 8)","(15, 1)","(5, 18)","(5, 5)","(5, 16)","(18, 1)","(12, 2)","(5, 21)"
"(3, 13)","(10, 4)","(6, 8)","(17, 1)","(6, 18)","(6, 5)","(6, 16)","(6, 21)","(3, 12)","(19, 1)"
"(2, 14)","(5, 11)","(2, 15)","(5, 17)","(5, 6)","(5, 19)","(5, 22)","(4, 10)","(12, 3)","(5, 37)"
"(3, 14)","(6, 11)","(3, 15)","(6, 17)","(6, 6)","(6, 19)","(6, 22)","(6, 37)","(10, 7)","(10, 3)"
"(0, 27)","(1, 19)","(1, 17)","(1, 37)","(1, 22)","(4, 10)","(1, 43)","(4, 15)","(8, 6)","(1, 32)"
"(4, 11)","(8, 7)","(1, 15)","(1, 14)","(1, 23)","(8, 10)","(8, 15)","(1, 7)","(1, 10)","(8, 14)"
"(9, 4)","(5, 8)","(15, 1)","(8, 5)","(2, 13)","(18, 1)","(8, 8)","(2, 12)","(12, 4)","(12, 2)"
"(2, 15)","(5, 11)","(5, 17)","(2, 14)","(5, 19)","(9, 7)","(5, 37)","(5, 32)","(5, 22)","(5, 6)"
