0,1,2
"(30, 1)","(18, 4)","(45, 0)"
"(16, 8)","(21, 4)","(11, 12)"
"(17, 8)","(10, 12)","(23, 4)"
"(1, 36)","(4, 21)","(4, 33)"
"(31, 1)","(32, 4)","(32, 0)"
"(27, 2)","(19, 5)","(17, 5)"
"(27, 3)","(19, 6)","(17, 6)"
"(1, 37)","(4, 27)","(4, 23)"
"(2, 28)","(5, 18)","(9, 12)"
"(3, 28)","(6, 18)","(6, 42)"
"(32, 1)","(31, 4)","(31, 0)"
"(2, 29)","(5, 19)","(5, 41)"
"(3, 29)","(6, 19)","(6, 41)"
"(9, 12)","(12, 9)","(24, 4)"
"(24, 4)","(9, 12)","(12, 9)"
"(10, 12)","(17, 8)","(6, 21)"
"(44, 0)","(33, 1)","(35, 1)"
"(12, 9)","(18, 5)","(15, 8)"
"(28, 2)","(12, 9)","(18, 5)"
"(28, 3)","(39, 6)","(41, 6)"
"(29, 2)","(19, 5)","(10, 12)"
"(29, 3)","(19, 6)","(27, 3)"
"(5, 19)","(12, 10)","(18, 6)"
"(6, 19)","(3, 27)","(10, 14)"
"(18, 6)","(12, 10)","(5, 19)"
"(45, 0)","(34, 1)","(30, 1)"
"(33, 1)","(46, 0)","(44, 0)"
"(0, 50)","(1, 51)","(1, 37)"
"(18, 5)","(12, 9)","(2, 30)"
"(0, 51)","(1, 50)","(1, 40)"
"(2, 30)","(18, 5)","(5, 18)"
"(3, 30)","(6, 18)","(6, 21)"
"(0, 52)","(1, 53)","(1, 36)"
"(0, 53)","(1, 52)","(1, 33)"
"(18, 6)","(12, 10)","(8, 17)"
"(11, 12)","(16, 8)","(7, 18)"
"(46, 0)","(33, 1)","(35, 1)"
"(12, 11)","(8, 15)","(18, 7)"
"(34, 1)","(45, 0)","(33, 4)"
"(5, 20)","(2, 33)","(9, 16)"
"(6, 20)","(3, 33)","(10, 16)"
"(35, 1)","(46, 0)","(44, 0)"
"(4, 25)","(1, 39)","(5, 21)"
"(5, 22)","(9, 14)","(2, 31)"
"(6, 22)","(10, 14)","(3, 31)"
"(7, 18)","(11, 12)","(11, 13)"
"(5, 21)","(4, 25)","(9, 12)"
"(6, 21)","(10, 12)","(10, 13)"
"(1, 38)","(0, 43)","(4, 19)"
"(5, 23)","(2, 32)","(9, 17)"
"(6, 23)","(3, 32)","(10, 17)"
"(47, 0)","(36, 1)","(48, 1)"
"(2, 31)","(5, 22)","(5, 32)"
"(3, 31)","(6, 22)","(6, 32)"
"(48, 0)","(47, 1)","(31, 1)"
"(19, 5)","(14, 9)","(27, 2)"
"(2, 32)","(5, 23)","(5, 31)"
"(3, 32)","(6, 23)","(6, 31)"
"(19, 6)","(14, 10)","(27, 3)"
"(4, 26)","(8, 24)","(8, 25)"
"(2, 33)","(5, 24)","(5, 20)"
"(3, 33)","(6, 24)","(6, 20)"
"(13, 9)","(20, 5)","(18, 5)"
"(49, 0)","(36, 1)","(27, 4)"
"(9, 13)","(5, 21)","(5, 18)"
"(9, 14)","(5, 22)","(5, 19)"
"(14, 9)","(19, 5)","(21, 5)"
"(18, 7)","(13, 11)","(12, 11)"
