tg,drive_amp,detune,f_50,f_60,f_70,f_80,f_90,f_100,f_110,f_120,f_130,f_140,f_150,f_160,f_170,f_180,f_190,f_200,f_300,f_400,f_500,f_600,f_700,f_800,f_900
116.08181900,0.01330700,0.02005600,-2.67132051,-2.85784026,-2.84908223,-2.85401862,-2.86839937,-2.83690854,-2.83482714,-2.83518416,-2.83549272,-2.83109368,-2.84681526,-2.83715234,-2.83542505,-2.82498441,-2.82669527,-2.82834420,-2.81815810,-2.81777772,-2.81671332,-2.81657200,-2.81654522,-2.81646101,-2.81631485
121.89910400,0.01255200,0.01939800,-2.79390246,-3.17110381,-3.17217467,-3.17465010,-3.16308499,-3.14283006,-3.14451575,-3.14540834,-3.14562780,-3.14171797,-3.16468526,-3.16063110,-3.16055564,-3.15360061,-3.15453605,-3.15629906,-3.15017148,-3.14884686,-3.14806784,-3.14809570,-3.14797689,-3.14760429,-3.14770755
127.98949300,0.01184600,0.01861400,-2.73603220,-2.99764102,-3.00198748,-3.00131564,-2.98832995,-2.98846775,-2.99034587,-2.99083435,-2.99086297,-2.99005464,-2.99753764,-2.99719588,-2.99764340,-2.99672271,-2.99689401,-2.99726097,-2.99551971,-2.99425781,-2.99415142,-2.99435555,-2.99427467,-2.99418619,-2.99409827
134.04404000,0.01121600,0.01771000,-2.85643873,-3.05399917,-3.05448739,-3.05412257,-3.04975020,-3.05006892,-3.05049695,-3.05065731,-3.05070592,-3.05060315,-3.05334933,-3.05329110,-3.05331060,-3.05314570,-3.05318343,-3.05324702,-3.05095819,-3.04936290,-3.04944811,-3.04953226,-3.04948637,-3.04939207,-3.04938118
140.02922400,0.01065100,0.01699100,-3.01084968,-3.27984117,-3.28322385,-3.28075064,-3.26895463,-3.27596765,-3.27725488,-3.27761069,-3.27756023,-3.27748045,-3.27870776,-3.27869022,-3.27899014,-3.27906842,-3.27911241,-3.27912526,-3.27391122,-3.27200628,-3.27204500,-3.27177286,-3.27171384,-3.27156253,-3.27204811
146.02662600,0.01014600,0.01633500,-3.07832396,-3.34268564,-3.34759426,-3.34405071,-3.33028446,-3.33973292,-3.34123161,-3.34169705,-3.34157532,-3.34145966,-3.34178348,-3.34176990,-3.34215637,-3.34232310,-3.34236936,-3.34237526,-3.33610019,-3.33496705,-3.33491463,-3.33458820,-3.33447308,-3.33425873,-3.33467162
151.99542300,0.00967900,0.01572000,-3.08421320,-3.32580018,-3.33247257,-3.32853207,-3.31362478,-3.32386279,-3.32565947,-3.32622502,-3.32605312,-3.32590059,-3.32596924,-3.32596808,-3.32641472,-3.32663024,-3.32669032,-3.32668199,-3.32153624,-3.32102121,-3.32093052,-3.32069127,-3.32057124,-3.32025653,-3.32043818
158.03957000,0.00926300,0.01510700,-3.25707305,-3.49197204,-3.49593635,-3.49214161,-3.48149344,-3.48952872,-3.49040841,-3.49087652,-3.49080649,-3.49073251,-3.49075145,-3.49071475,-3.49098602,-3.49115418,-3.49119019,-3.49118442,-3.48658523,-3.48651617,-3.48636439,-3.48608222,-3.48592205,-3.48577994,-3.48559768
164.00520900,0.00887600,0.01457400,-3.40125663,-3.72260983,-3.73107283,-3.72514796,-3.70737137,-3.72011754,-3.72196594,-3.72279016,-3.72266525,-3.72250003,-3.72252551,-3.72249312,-3.72295341,-3.72322730,-3.72326382,-3.72329262,-3.71877976,-3.71842938,-3.71835678,-3.71785353,-3.71788036,-3.71743746,-3.71750123
170.00468100,0.00852100,0.01407000,-3.49989107,-3.83007856,-3.83866269,-3.83329057,-3.81677863,-3.82858273,-3.83037707,-3.83119434,-3.83108298,-3.83092796,-3.83096349,-3.83095550,-3.83135903,-3.83162440,-3.83165406,-3.83169000,-3.82884704,-3.82847917,-3.82840884,-3.82798550,-3.82724239,-3.82784855,-3.82769393
176.00024500,0.00819000,0.01358400,-3.62264389,-3.97350698,-3.98128796,-3.97687995,-3.96259502,-3.97287598,-3.97445892,-3.97519833,-3.97504206,-3.97490536,-3.97494885,-3.97495919,-3.97528265,-3.97553565,-3.97558736,-3.97556855,-3.97392802,-3.97361440,-3.97363708,-3.97329622,-3.97329989,-3.97316288,-3.97314626
182.01000700,0.00788000,0.01312700,-3.77925284,-4.26339414,-4.27691468,-4.27192154,-4.25199585,-4.26574689,-4.26861699,-4.26962993,-4.26921486,-4.26893014,-4.26901325,-4.26907849,-4.26949845,-4.26979630,-4.26985773,-4.26986772,-4.26826516,-4.26782363,-4.26780076,-4.26720550,-4.26717280,-4.26693079,-4.26691943
188.01243600,0.00759600,0.01271000,-3.87696264,-4.39744394,-4.41230023,-4.41005286,-4.39384028,-4.40458176,-4.40787525,-4.40859422,-4.40811307,-4.40771442,-4.40782581,-4.40793852,-4.40823994,-4.40839248,-4.40836703,-4.40850694,-4.40727894,-4.40673541,-4.40674646,-4.40627161,-4.40621063,-4.40616345,-4.40617017
193.98756200,0.00733300,0.01232600,-3.89799148,-4.33251525,-4.34455681,-4.34526085,-4.33678064,-4.34198187,-4.34478166,-4.34503380,-4.34470078,-4.34430980,-4.34440564,-4.34454217,-4.34468055,-4.34473137,-4.34471349,-4.34475560,-4.34382225,-4.34327559,-4.34321918,-4.34295796,-4.34303580,-4.34300095,-4.34306262
