hspace,tphi_50us_02
286,3.28316458708134e-07
288,1.9495005713976686e-06
290,3.1255909190664646e-07
291,2.2323040264652373e-06
293,1.7739401932121307e-07
294,2.8626032731125104e-06
297,1.8239303457953505e-07
299,8.92126417682471e-08
302,8.541568274291474e-08
303,6.256475545906661e-08
305,7.66637693249516e-09
306,2.3027107208498074e-09
308,1.2569780919796006e-07
310,2.293563533611126e-07
313,1.0499768272868289e-06
315,2.2320959224720694e-07
317,1.340343205151105e-07
319,1.124151782283027e-06
320,2.1855556297390958e-07
322,3.1194610943031196e-07
325,3.564502328170166e-08
326,1.359353235551216e-07
328,1.2634720143982268e-07
330,1.2583266446480087e-07
332,2.179829978592737e-08
333,8.487690370785738e-08
336,1.5017167998594704e-06
337,1.6994411789628792e-06
340,6.002430021446894e-08
341,1.6725786476776526e-07
343,5.568413068356372e-07
346,4.326161292113008e-07
348,2.2312871816460806e-07
349,7.174995437496012e-08
350,4.7020430704705384e-08
352,4.686024928613139e-07
354,3.359440446042743e-07
357,1.3770514918355593e-06
358,1.4717084609045181e-06
361,2.8556468616855355e-07
363,7.136417175577051e-09
364,1.07499221010955e-09
366,1.1681262168887884e-06
368,7.793663445195753e-07
370,1.3043397259605274e-08
372,2.279379750431906e-07
374,5.82528772127875e-08
376,3.634991963504042e-07
378,1.5354920169243102e-07
379,4.02345418844426e-08
382,2.5155795561891175e-06
384,2.344239081229156e-06
386,8.265473826768697e-08
388,4.222843256219259e-08
390,8.565620901541026e-08
391,1.4892210624167049e-08
393,4.6865932614007354e-11
395,1.1875350866776962e-07
397,2.6226409041250515e-08
398,7.638101203752337e-08
400,1.483692653610577e-06
403,1.20255981417828e-06
405,4.8300821843166986e-08
407,2.998366588427116e-07
409,3.4079681080328163e-06
411,3.2134753665764415e-06
414,7.429794624156565e-08
415,5.807056492106713e-08
417,6.563753279517286e-08
418,1.9955453057244814e-07
420,9.842571513682361e-08
422,6.431558866858299e-08
424,1.5697349496334364e-09
426,1.004131455845706e-07
428,6.937319448838401e-07
430,3.696846501417849e-07
432,2.1063257805295217e-07
435,1.8976746584635463e-07
436,6.328530013895964e-08
438,5.898346191641365e-07
441,5.524095647964221e-07
442,3.8854507801599805e-08
444,2.2095433682976066e-07
445,3.2511572288585834e-09
447,8.459657730106472e-09
449,2.2551981877585457e-07
451,2.3380746427475123e-08
453,1.9878286314099252e-07
455,2.29540257000914e-08
457,2.2018312918889975e-07
460,1.517383877982513e-07
461,5.956355553082054e-08
464,2.98598226647723e-07
465,3.7653816057451577e-07
468,2.6811416953246663e-07
469,4.5241163797546824e-08
471,2.6898341351109025e-09
472,1.0410866600953691e-08
474,8.776613672315657e-08
476,6.914888874542145e-07
478,2.5521501122722875e-07
480,1.1420227303121138e-08
482,6.713669489645166e-08
484,4.3055247321394654e-08
487,5.782973903349554e-08
488,1.1689441707414311e-07
491,2.571981534782143e-07
492,2.421566972996765e-07
494,4.2442885343266064e-07
497,8.65985751918737e-08
498,5.674235468437e-07
