hspace,derivative,tphi_1e6,t1_50us_27,t1_50us_07,tphi_50us_02,tphi_50us_07,t1_50us_47
32.0,0.0183565893,8.074833243346234e-08,1.4816214829181166e-08,1.976909157573817e-07,2.0215295010629237e-07,0.00201607646356044,1.3538696988811044e-10
33.0,0.00592067636,2.6044312215898502e-08,7.831347069801382e-33,1.0449269207366678e-31,6.520177431864124e-08,0.0006502589376859185,7.156094604097597e-35
37.0,0.162785685,7.160737974231893e-07,2.4086927773487592e-36,3.2138888806769805e-35,1.792686316614581e-06,0.01787850579263457,2.2010049143884352e-38
38.0,0.00646468962,2.843735826866886e-08,1.448476720970923e-06,1.932684513037779e-05,7.11927502896481e-08,0.0007100070919550117,1.3235828210285018e-08
40.0,0.07535149,3.314617473016467e-07,7.290659319680596e-34,9.727836252374327e-33,8.298124313542704e-07,0.008275740280532932,6.662027279963647e-36
41.0,0.00585947063,2.5775075891432024e-08,1.805271224841334e-08,2.4087509916934505e-07,6.452774284794156e-08,0.0006435368048500526,1.6496129664378895e-10
42.0,0.00232804722,1.0240787532428905e-08,6.979446768757836e-31,9.312589207859713e-30,2.563774815781016e-08,0.00025568590818226313,6.377648815245406e-33
45.0,0.197599776,8.692166142882378e-07,3.429492541719807e-07,4.575929338041115e-06,2.176078410096725e-06,0.021702084798422498,3.1337869275683235e-09
46.0,0.027622955,1.2150991214552972e-07,1.1227214565667542e-30,1.4980333064015752e-29,3.041993124454421e-07,0.0030337874056750387,1.0259155782053356e-32
47.0,0.0242164288,1.0652503093772824e-07,2.3552002584643286e-37,3.142514476577465e-36,2.666847551554134e-07,0.0026596537808451803,2.1521247508180354e-39
48.0,0.0888919607,3.910245784747098e-07,2.8208418997991435e-08,3.76381433994707e-07,9.78927610274399e-07,0.009762869716053928,2.577616764809918e-10
51.0,0.0518787991,2.2820832604102587e-07,2.585200021943529e-33,3.449400306665669e-32,5.713181307617241e-07,0.005697770109357435,2.3622929443238523e-35
52.0,0.0436386479,1.919609351164169e-07,1.604736253247079e-07,2.1411796677560552e-06,4.805730120918901e-07,0.0047927667550306426,1.4663689835869407e-09
56.0,0.0107421734,4.725347255882096e-08,8.231630520037587e-35,1.0983362447455672e-33,1.1829877587136197e-07,0.001179796671663021,7.521863891656134e-37
59.0,0.0280148792,1.2323393751174077e-07,2.8444070282336134e-08,3.795256998371376e-07,3.085153992714435e-07,0.0030768318483112176,2.599150006400634e-10
62.0,0.345534242,1.5199617632759493e-06,8.372361084708502e-34,1.1171137493414452e-32,3.805214859987174e-06,0.037949503650462846,7.650460061063127e-36
63.0,0.0539355901,2.372558915064772e-07,3.202455569568014e-08,4.272996723652507e-07,5.939686548654622e-07,0.005923664356801482,2.92632606076405e-10
64.0,0.0216783631,9.536039847076074e-08,5.419548974805734e-32,7.231236939890785e-31,2.387341669261179e-07,0.0023809018603704957,4.9522521259211146e-34
65.0,0.0407960133,1.7945654228415684e-07,6.958611743725806e-08,9.2847892925244e-07,4.492683420863232e-07,0.004480564492513251,6.358610275786099e-10
67.0,0.26945492,1.1852983743549787e-06,4.611222922176397e-34,6.1526975192817314e-33,2.967387138669328e-06,0.029593826681221288,4.213623426156565e-36
72.0,0.101699092,4.473615416670716e-07,9.038048910299954e-09,1.2059356497842778e-07,1.119966848685297e-06,0.011169457593446721,8.258749415917281e-11
73.0,0.102886759,4.5258593973846343e-07,7.993400926688524e-32,1.0665495657505194e-30,1.1330460968980293e-06,0.01129989726533323,7.304175479649024e-34
74.0,0.01436828,6.320426038714437e-08,2.3632163367256865e-09,3.1532102303211914e-08,1.5823147440321273e-07,0.0015780464800095623,2.159449648294911e-11
76.0,0.0022729825,9.998564740207065e-09,9.639216011995272e-35,1.2861486301085689e-33,2.5031344897767893e-08,0.00024963823319481074,8.808081301512279e-37
78.0,0.41349916,1.8189309074228419e-06,7.861459949201176e-11,1.0489448448645712e-09,4.553682260596951e-06,0.04541398789033279,7.183611021371155e-13
79.0,0.0096734108,4.2552120019585825e-08,3.918590099863002e-35,5.228526140117664e-34,1.065289689087324e-07,0.0010624160903480782,3.580712388221493e-37
82.0,0.0802992591,3.532263625883664e-07,1.4775259298019694e-11,1.9714445118772016e-10,8.843000109183978e-07,0.008819146284045886,1.3501272819898557e-13
83.0,0.0326880214,1.4379050353320983e-07,1.775819730456511e-34,2.369454228232032e-33,3.599786349824593e-07,0.003590075994395102,1.622700906715425e-36
85.0,0.0100055395,4.4013112486105394e-08,7.057145577610487e-36,9.41626176426113e-35,1.1018655449953535e-07,0.0010988932835782458,6.448648098232027e-38
87.0,0.0330835175,1.4553024123921913e-07,7.260618599695985e-10,9.687753292507464e-09,3.643340575538262e-07,0.0036335127334106627,6.634576800209781e-12
88.0,0.0838554422,3.688695657161424e-07,1.7445771506471852e-32,2.327767641716263e-31,9.234626730575535e-07,0.009209716500051177,1.5941521966660726e-34
90.0,0.000802861539,3.5316871445837266e-09,4.179471369087723e-08,5.576616780079269e-07,8.84155689182021e-09,8.817706959733594e-05,3.8190993510734033e-10
92.0,0.0221870539,9.759806545523939e-08,8.89276507914986e-33,1.1865506084927357e-31,2.4433615236204686e-07,0.0024367706022347443,8.125992582273055e-35
93.0,0.10622246,4.6725926978058804e-07,1.7680642359559955e-09,2.3591061681665245e-08,1.1697806877744788e-06,0.011666252265473428,1.6156141243454726e-11
96.0,0.00737620126,3.2446983571104014e-08,5.608610031168203e-34,7.483498761126944e-33,8.123082239938499e-08,0.0008101170379603612,5.1250115239176034e-36
97.0,0.018227433,8.018019007990018e-08,1.1382155180782005e-12,1.5187068403933084e-11,2.007306092431227e-07,0.0020018914223038625,1.0400736750166967e-14
98.0,0.014474561,6.367177716703773e-08,9.87770653186852e-35,1.3179701242059261e-33,1.5940189976595952e-07,0.001589719161634774,9.026008141835124e-37
102.0,1.67657143,7.375027297586559e-06,2.3117251474038545e-34,3.084506175420333e-33,1.846333515989407e-05,0.18413530663350788,2.112398251034609e-36
103.0,0.0687875819,3.0258793939216244e-07,7.102155174700392e-09,9.476317511084192e-08,7.575270320921328e-07,0.0075548361728519,6.489776774052014e-11
106.0,0.0691660032,3.042525671959943e-07,1.326432357840336e-32,1.7698422338964635e-31,7.616944174886158e-07,0.007596397612385765,1.212061648403283e-34
107.0,0.0479828612,2.1107058418996611e-07,2.3116132149626444e-10,3.08435682535312e-09,5.284139001857361e-07,0.0052698851370830335,2.1122959698904548e-12
112.0,0.0308008438,1.3548904612653437e-07,6.23037964534898e-36,8.313118241099785e-35,3.391959877826054e-07,0.00338281013036455,5.69316948465829e-38
114.0,0.0969078581,4.262855050787455e-07,5.116888983523194e-10,6.827401469565917e-09,1.0672031216276632e-06,0.01064324361440417,4.675688782324067e-12
118.0,0.038180048,1.6794923925380565e-07,2.6642357437563903e-37,3.5548566894386625e-36,4.204598802240375e-07,0.004193256976687268,2.4345138658785807e-39
119.0,0.182791264,8.040758285856936e-07,4.677220737910162e-10,6.240757585775221e-09,2.0129988565609036e-06,0.020075688303102298,4.273930626034836e-12
120.0,0.000668073362,2.938770870943701e-09,6.804312528069727e-35,9.078909763944553e-34,7.357194673180872e-09,7.33734878003668e-05,6.217615402907739e-37
121.0,0.00856310198,3.76680108729501e-08,1.5085194335983956e-35,2.0127987593600184e-34,9.430163191143755e-08,0.0009404725504724235,1.378448392432648e-37
122.0,0.00359720629,1.5823658991851047e-08,6.894019898068527e-10,9.198605194455728e-09,3.961443227715571e-08,0.0003950757309714703,6.29958781719029e-12
123.0,0.115239947,5.069260633276019e-07,4.3861144767475344e-33,5.852338114166303e-32,1.2690862597303288e-06,0.012656629236055988,4.0079248001970413e-35
124.0,0.0572441557,2.5180985632970925e-07,4.379506137167283e-09,5.843520688674586e-08,6.304044156557412e-07,0.006287039116964893,4.001886260110542e-11
127.0,0.0291026574,1.2801893728876763e-07,3.480181946332012e-09,4.643563581554153e-08,3.2049461657578843e-07,0.0031963008842390487,3.1801056734491036e-11
128.0,0.00262075001,1.1528350369122206e-08,3.967140576681929e-36,5.293306438820455e-35,2.88611537445355e-08,0.00028783301329494737,3.6250766338734356e-38
131.0,0.00921909425,4.055363853645847e-08,5.057120011145493e-12,6.747652471461801e-11,1.015257828939637e-07,0.0010125191901945742,4.621073348106646e-14
132.0,0.00916984012,4.033697580037159e-08,3.0482074179963473e-31,4.0671853292467775e-30,1.0098336907614085e-07,0.001007109683526244,2.785377849004866e-33
133.0,0.0426928511,1.8780049369820067e-07,4.986607510657188e-32,6.65356851712806e-31,4.701573727704236e-07,0.004688891321711949,4.556640739033354e-34
134.0,0.0457693026,2.013334177276893e-07,1.0263918505858149e-09,1.3695019086021e-08,5.04036964257712e-07,0.005026773341027771,9.37891925642006e-12
137.0,0.189427384,8.332672875801129e-07,3.4694502007513956e-35,4.629244346608067e-34,2.0860794933467015e-06,0.0208045233346385,3.1702992651827486e-37
138.0,0.0941791265,4.1428215724775747e-07,1.8476435878330506e-09,2.4652879097876626e-08,1.0371528146793968e-06,0.010343551146254132,1.6883318018394187e-11
142.0,0.0020179211,8.87658165383141e-09,1.049135277823961e-09,1.3998481813175517e-08,2.2222467190391115e-08,0.00022162522506465797,9.586743166517444e-12
143.0,0.0161016072,7.08289491936626e-08,2.531463809682968e-31,3.3777007455186446e-30,1.7731983560435805e-07,0.00176841518709662,2.3131900996695422e-33
