hspace,derivative,tphi_50us_02,t1_50us_49
229,0.01080221081650734,1.1895994126422171e-07,7.157783183951688e-12
213,0.15258028381737176,1.6802987748818564e-06,9.340075317980016e-34
281,0.11316214382617318,1.246204338312251e-06,3.688480496712188e-35
198,0.06441877640384064,7.094153213158323e-07,9.721949092820086e-10
156,0.05342113551165539,5.883031955850401e-07,6.913385984450161e-35
246,0.0233310323451974,2.569342780439943e-07,1.9058464440499956e-35
181,0.12196497726790767,1.3431460261737038e-06,1.1107617446523927e-09
179,0.1408109261049617,1.5506880751863471e-06,1.0840213517917364e-36
174,0.01586435979561429,1.747071355612507e-07,2.9209461482436597e-33
230,0.001315686262159943,1.4489067388826947e-08,4.762130505361642e-34
169,0.009135675938409804,1.0060713417862921e-07,5.443806364346866e-11
200,0.041907149125108845,4.6150478667345683e-07,7.446425113033247e-10
226,0.019087046354115955,2.101971486913878e-07,2.0150821638254986e-34
202,0.03377135158899591,3.7190886844210707e-07,4.7524457412476474e-35
265,0.0007758363693710635,8.54394072646601e-09,4.8485021113055033e-11
305,0.0006961487954981749,7.66637693249516e-09,6.432877521493196e-11
190,0.016839413063962638,1.8544496335433114e-07,3.234490305426339e-12
264,0.003901236077297199,4.2962577059127525e-08,1.2847063865504187e-38
259,0.017889840044915672,1.97012848306694e-07,1.0507732742676417e-35
255,0.005579493169705074,6.144447567510504e-08,1.722027967738803e-09
223,0.04194677111257761,4.6194112599159465e-07,1.1762788387490622e-09
216,0.0626003654105034,6.89389970150583e-07,3.558776940779832e-11
250,0.029965351458827172,3.299950824933448e-07,4.892259242818258e-10
306,0.0002090986797043115,2.3027107208498074e-09,6.025698238605251e-10
282,0.052694486136317664,5.803009293380453e-07,3.4279169208758383e-10
279,0.019408714663882165,2.1373953866010368e-07,3.1935641775414585e-33
262,0.04285593618646999,4.719533564161707e-07,7.166317620892609e-35
183,0.019321576374409233,2.127799234504353e-07,4.803991702674136e-10
297,0.016562281302867632,1.8239303457953505e-07,8.391479574441893e-39
212,0.17529509958791323,1.930446933975544e-06,4.522052713026993e-10
237,0.015129753471398999,1.666172429767221e-07,1.4939213394890834e-36
269,0.03230758326111527,3.557890391528088e-07,4.3701193396646014e-11
257,0.027483068492983875,3.026588046855975e-07,5.693269208077293e-10
275,0.0781115462160642,8.602077026418328e-07,6.390840917592233e-35
273,0.0007382180982062891,8.129667444427803e-09,3.4633307844519886e-10
234,0.013440015599996968,1.4800891165006976e-07,2.2613185105649542e-10
322,0.02832640636540873,3.1194610943031196e-07,9.321466195501527e-11
252,0.020361405077551353,2.242310942849843e-07,1.3065452496071264e-34
291,0.20270536824540386,2.2323040264652373e-06,2.625440021245939e-12
267,0.04192881418418892,4.617433743292091e-07,3.1965299198930688e-12
319,0.10207910673898368,1.124151782283027e-06,1.088595165616012e-13
328,0.01147301428972014,1.2634720143982268e-07,1.8052682390477203e-35
288,0.1770252736790212,1.9495005713976686e-06,2.4622547983664614e-34
349,0.006515286784747332,7.174995437496012e-08,2.0808804911595925e-10
227,0.019183442603321055,2.1125871769224515e-07,8.873582402021477e-12
294,0.25993997400775015,2.8626032731125104e-06,1.0470481450320025e-36
336,0.13636406748673835,1.5017167998594704e-06,2.235616292310339e-11
242,0.011918202844185544,1.312498649029147e-07,1.6564493737905574e-34
239,0.008308424703784567,9.149698441823121e-08,1.189928386741917e-11
208,0.009191511665562757,1.0122202819758412e-07,1.0211252441914743e-34
315,0.020268647126897577,2.2320959224720694e-07,1.8985887184860152e-36
286,0.029812923273198066,3.28316458708134e-07,1.430018534194642e-10
320,0.01984603591154155,2.1855556297390958e-07,7.134141878428927e-11
333,0.0077072853059689805,8.487690370785738e-08,2.7448035552315868e-34
358,0.13363914681008282,1.4717084609045181e-06,2.3270748332101461e-35
363,0.0006480255620999742,7.136417175577051e-09,1.6099208021857675e-11
370,0.0011844115377357411,1.3043397259605274e-08,2.2612800946929544e-11
348,0.020261303319557555,2.2312871816460806e-07,4.395139265347993e-35
384,0.2128696810927977,2.344239081229156e-06,1.1226485713286683e-35
8,0.11098445178348015,1.2222223848130242e-06,4.6591153384079027e-32
397,0.002381500834758299,2.6226409041250515e-08,9.593900453920139e-11
222,0.0033340745559939933,3.67166795842835e-08,3.63345998801253e-36
366,0.10607222499459112,1.1681262168887884e-06,3.127100674843636e-38
303,0.005681220677900001,6.256475545906661e-08,1.0964763905550804e-11
337,0.1543185184047502,1.6994411789628792e-06,1.3612659934938202e-35
302,0.007756209377873802,8.541568274291474e-08,2.702840394949791e-35
418,0.01812063864292668,1.9955453057244814e-07,2.9523497877622752e-36
414,0.006746658328893318,7.429794624156565e-08,6.418505795842369e-35
357,0.12504377828292945,1.3770514918355593e-06,2.476659878432283e-12
398,0.006935812052688561,7.638101203752337e-08,7.037295918437469e-35
326,0.012343668018388598,1.359353235551216e-07,9.714983956373426e-35
271,0.02044989229688099,2.2520556465895645e-07,7.886314965605724e-37
310,0.020826806526486052,2.293563533611126e-07,5.043455763548639e-14
451,0.00212309916491904,2.3380746427475123e-08,1.327432291781893e-38
438,0.053560197116553354,5.898346191641365e-07,4.269135795762716e-36
352,0.042551659518608176,4.686024928613139e-07,1.274863187357962e-11
346,0.039283901628550666,4.326161292113008e-07,1.363856350301883e-36
277,0.03959540575948495,4.3604658560110544e-07,2.525058125952985e-11
245,0.014109974245002377,1.5538686810853013e-07,1.920545714677898e-12
474,0.007969643405658644,8.776613672315657e-08,4.283678461768093e-35
283,0.0067038797126883765,7.382684437570241e-08,1.0846524996105686e-35
445,0.00029522279021421127,3.2511572288585834e-09,2.900275891323161e-11
313,0.0953436166852839,1.0499768272868289e-06,1.463433153384114e-35
407,0.027226802274071815,2.998366588427116e-07,2.1132428349342124e-36
391,0.0013522938644427995,1.4892210624167049e-08,6.630923958438742e-14
299,0.008100993944992751,8.92126417682471e-08,2.530312344031976e-36
290,0.028382068514076764,3.1255909190664646e-07,7.343075089223222e-37
372,0.02069801004722649,2.279379750431906e-07,1.440815401284455e-34
341,0.015187925420434567,1.6725786476776526e-07,7.0811446607321964e-12
382,0.22842832976266436,2.5155795561891175e-06,2.433521319326293e-12
409,0.30946207242266155,3.4079681080328163e-06,7.317714906908518e-16
293,0.016108343480425447,1.7739401932121307e-07,4.292991388005195e-12
361,0.02593082939483793,2.8556468616855355e-07,3.7489317274597806e-13
343,0.05056422459404075,5.568413068356372e-07,9.5007570848604e-12
