0,1,2,3,4,5,6,7,8,9
"(5, 4)","(3, 6)","(7, 2)","(6, 3)","(3, 7)","(1, 10)","(8, 2)","(4, 5)","(5, 5)","(7, 6)"
"(14, 0)","(9, 1)","(11, 1)","(10, 1)","(15, 1)","(6, 3)","(7, 3)","(23, 1)","(22, 1)","(18, 1)"
"(8, 2)","(5, 4)","(10, 4)","(3, 6)","(9, 4)","(7, 2)","(4, 4)","(3, 7)","(11, 4)","(1, 10)"
"(15, 0)","(13, 1)","(14, 1)","(12, 1)","(7, 1)","(17, 1)","(26, 1)","(29, 1)","(11, 0)","(10, 0)"
"(1, 10)","(0, 17)","(3, 6)","(3, 7)","(3, 8)","(5, 4)","(0, 16)","(0, 11)","(0, 13)","(3, 11)"
"(9, 2)","(6, 4)","(4, 6)","(7, 4)","(14, 4)","(8, 4)","(12, 4)","(6, 5)","(2, 9)","(2, 10)"
"(0, 16)","(1, 10)","(1, 23)","(0, 17)","(3, 7)","(1, 22)","(3, 6)","(3, 8)","(1, 15)","(5, 5)"
"(4, 6)","(6, 4)","(9, 2)","(2, 10)","(2, 9)","(6, 5)","(2, 5)","(6, 10)","(2, 4)","(10, 2)"
"(3, 7)","(5, 5)","(7, 3)","(1, 12)","(1, 10)","(1, 9)","(10, 1)","(5, 4)","(0, 17)","(5, 9)"
"(16, 0)","(22, 1)","(23, 1)","(11, 1)","(9, 1)","(3, 7)","(15, 1)","(20, 1)","(5, 5)","(30, 1)"
"(0, 17)","(1, 10)","(1, 18)","(1, 12)","(5, 5)","(7, 3)","(3, 7)","(3, 8)","(10, 1)","(1, 19)"
"(10, 1)","(7, 3)","(3, 7)","(5, 5)","(1, 12)","(17, 0)","(8, 3)","(6, 3)","(11, 1)","(9, 1)"
"(7, 3)","(5, 5)","(10, 1)","(3, 7)","(1, 12)","(11, 1)","(17, 0)","(9, 1)","(3, 8)","(8, 3)"
"(6, 4)","(4, 6)","(9, 2)","(10, 2)","(4, 7)","(2, 10)","(5, 6)","(1, 11)","(6, 5)","(7, 4)"
"(1, 11)","(0, 18)","(3, 9)","(3, 10)","(1, 13)","(3, 12)","(6, 4)","(0, 12)","(0, 19)","(0, 10)"
"(1, 12)","(3, 7)","(7, 3)","(10, 1)","(0, 21)","(3, 8)","(3, 13)","(11, 1)","(0, 13)","(3, 11)"
"(0, 18)","(1, 11)","(1, 13)","(1, 17)","(0, 19)","(3, 9)","(1, 21)","(1, 24)","(1, 20)","(1, 8)"
"(5, 5)","(7, 3)","(3, 7)","(11, 1)","(10, 1)","(1, 12)","(8, 3)","(3, 8)","(3, 6)","(9, 1)"
"(0, 19)","(1, 13)","(0, 18)","(1, 20)","(1, 14)","(1, 11)","(3, 9)","(3, 12)","(3, 10)","(1, 21)"
"(0, 20)","(1, 19)","(0, 21)","(1, 9)","(1, 15)","(1, 18)","(1, 25)","(0, 17)","(3, 20)","(1, 30)"
"(1, 13)","(0, 19)","(0, 18)","(3, 12)","(3, 10)","(0, 12)","(0, 15)","(3, 9)","(1, 20)","(3, 15)"
"(2, 10)","(4, 6)","(4, 7)","(4, 8)","(6, 4)","(4, 11)","(4, 13)","(4, 17)","(3, 9)","(1, 13)"
"(0, 21)","(1, 12)","(3, 8)","(0, 20)","(1, 18)","(1, 19)","(3, 7)","(1, 22)","(5, 5)","(11, 1)"
"(11, 1)","(8, 3)","(7, 3)","(3, 8)","(17, 0)","(5, 5)","(12, 3)","(14, 0)","(12, 0)","(10, 1)"
"(3, 8)","(11, 1)","(1, 12)","(5, 5)","(1, 10)","(0, 21)","(7, 3)","(8, 3)","(17, 0)","(5, 10)"
"(12, 1)","(9, 3)","(20, 0)","(10, 3)","(11, 3)","(3, 9)","(6, 5)","(11, 0)","(10, 0)","(13, 1)"
"(3, 9)","(1, 14)","(5, 6)","(5, 7)","(1, 11)","(12, 1)","(1, 7)","(4, 7)","(1, 13)","(7, 4)"
"(17, 0)","(11, 1)","(10, 1)","(8, 3)","(18, 1)","(20, 1)","(7, 3)","(15, 1)","(9, 1)","(12, 3)"
"(8, 3)","(11, 1)","(10, 1)","(17, 0)","(5, 5)","(10, 5)","(9, 1)","(9, 5)","(7, 3)","(14, 0)"
"(4, 7)","(9, 3)","(6, 5)","(2, 12)","(12, 1)","(7, 5)","(7, 4)","(3, 9)","(2, 10)","(2, 9)"
"(9, 3)","(4, 7)","(2, 12)","(6, 5)","(12, 1)","(14, 1)","(18, 0)","(7, 5)","(7, 1)","(2, 9)"
"(13, 1)","(18, 0)","(20, 0)","(11, 3)","(10, 3)","(12, 1)","(4, 7)","(15, 0)","(9, 3)","(11, 0)"
"(18, 0)","(13, 1)","(9, 3)","(19, 1)","(17, 1)","(20, 0)","(14, 1)","(4, 7)","(6, 5)","(12, 1)"
"(2, 11)","(4, 9)","(4, 10)","(4, 12)","(2, 13)","(4, 5)","(4, 18)","(6, 6)","(4, 15)","(4, 27)"
"(10, 2)","(7, 4)","(5, 6)","(6, 4)","(8, 4)","(2, 12)","(9, 3)","(4, 7)","(3, 9)","(12, 4)"
"(19, 0)","(18, 1)","(20, 1)","(10, 1)","(17, 0)","(9, 1)","(15, 1)","(25, 1)","(11, 1)","(23, 1)"
"(2, 12)","(4, 7)","(6, 5)","(9, 3)","(10, 2)","(5, 6)","(4, 8)","(4, 13)","(4, 11)","(7, 4)"
"(5, 6)","(7, 4)","(10, 2)","(1, 14)","(6, 5)","(4, 7)","(2, 12)","(9, 3)","(3, 9)","(3, 10)"
"(20, 0)","(13, 1)","(12, 1)","(17, 1)","(14, 1)","(19, 1)","(21, 1)","(9, 3)","(11, 3)","(10, 3)"
"(1, 14)","(0, 22)","(3, 9)","(5, 6)","(7, 4)","(6, 5)","(3, 10)","(10, 2)","(3, 12)","(0, 19)"
"(6, 5)","(7, 4)","(4, 7)","(9, 3)","(2, 12)","(10, 3)","(5, 7)","(5, 6)","(10, 2)","(4, 6)"
"(1, 15)","(3, 13)","(3, 14)","(3, 7)","(0, 14)","(0, 13)","(0, 26)","(3, 11)","(0, 20)","(0, 24)"
"(0, 22)","(1, 14)","(3, 9)","(1, 17)","(7, 4)","(3, 12)","(1, 16)","(3, 10)","(1, 21)","(3, 15)"
"(7, 4)","(5, 6)","(6, 5)","(11, 2)","(10, 2)","(9, 3)","(4, 7)","(3, 10)","(3, 9)","(5, 7)"
